id;identifier;generation_id;is_main_series;;
1;stench;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(1,""stench"",3,1);"
2;drizzle;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(2,""drizzle"",3,1);"
3;speed-boost;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(3,""speed-boost"",3,1);"
4;battle-armor;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(4,""battle-armor"",3,1);"
5;sturdy;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(5,""sturdy"",3,1);"
6;damp;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(6,""damp"",3,1);"
7;limber;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(7,""limber"",3,1);"
8;sand-veil;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(8,""sand-veil"",3,1);"
9;static;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(9,""static"",3,1);"
10;volt-absorb;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10,""volt-absorb"",3,1);"
11;water-absorb;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(11,""water-absorb"",3,1);"
12;oblivious;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(12,""oblivious"",3,1);"
13;cloud-nine;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(13,""cloud-nine"",3,1);"
14;compound-eyes;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(14,""compound-eyes"",3,1);"
15;insomnia;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(15,""insomnia"",3,1);"
16;color-change;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(16,""color-change"",3,1);"
17;immunity;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(17,""immunity"",3,1);"
18;flash-fire;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(18,""flash-fire"",3,1);"
19;shield-dust;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(19,""shield-dust"",3,1);"
20;own-tempo;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(20,""own-tempo"",3,1);"
21;suction-cups;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(21,""suction-cups"",3,1);"
22;intimidate;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(22,""intimidate"",3,1);"
23;shadow-tag;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(23,""shadow-tag"",3,1);"
24;rough-skin;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(24,""rough-skin"",3,1);"
25;wonder-guard;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(25,""wonder-guard"",3,1);"
26;levitate;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(26,""levitate"",3,1);"
27;effect-spore;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(27,""effect-spore"",3,1);"
28;synchronize;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(28,""synchronize"",3,1);"
29;clear-body;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(29,""clear-body"",3,1);"
30;natural-cure;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(30,""natural-cure"",3,1);"
31;lightning-rod;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(31,""lightning-rod"",3,1);"
32;serene-grace;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(32,""serene-grace"",3,1);"
33;swift-swim;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(33,""swift-swim"",3,1);"
34;chlorophyll;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(34,""chlorophyll"",3,1);"
35;illuminate;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(35,""illuminate"",3,1);"
36;trace;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(36,""trace"",3,1);"
37;huge-power;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(37,""huge-power"",3,1);"
38;poison-point;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(38,""poison-point"",3,1);"
39;inner-focus;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(39,""inner-focus"",3,1);"
40;magma-armor;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(40,""magma-armor"",3,1);"
41;water-veil;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(41,""water-veil"",3,1);"
42;magnet-pull;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(42,""magnet-pull"",3,1);"
43;soundproof;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(43,""soundproof"",3,1);"
44;rain-dish;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(44,""rain-dish"",3,1);"
45;sand-stream;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(45,""sand-stream"",3,1);"
46;pressure;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(46,""pressure"",3,1);"
47;thick-fat;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(47,""thick-fat"",3,1);"
48;early-bird;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(48,""early-bird"",3,1);"
49;flame-body;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(49,""flame-body"",3,1);"
50;run-away;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(50,""run-away"",3,1);"
51;keen-eye;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(51,""keen-eye"",3,1);"
52;hyper-cutter;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(52,""hyper-cutter"",3,1);"
53;pickup;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(53,""pickup"",3,1);"
54;truant;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(54,""truant"",3,1);"
55;hustle;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(55,""hustle"",3,1);"
56;cute-charm;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(56,""cute-charm"",3,1);"
57;plus;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(57,""plus"",3,1);"
58;minus;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(58,""minus"",3,1);"
59;forecast;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(59,""forecast"",3,1);"
60;sticky-hold;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(60,""sticky-hold"",3,1);"
61;shed-skin;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(61,""shed-skin"",3,1);"
62;guts;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(62,""guts"",3,1);"
63;marvel-scale;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(63,""marvel-scale"",3,1);"
64;liquid-ooze;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(64,""liquid-ooze"",3,1);"
65;overgrow;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(65,""overgrow"",3,1);"
66;blaze;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(66,""blaze"",3,1);"
67;torrent;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(67,""torrent"",3,1);"
68;swarm;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(68,""swarm"",3,1);"
69;rock-head;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(69,""rock-head"",3,1);"
70;drought;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(70,""drought"",3,1);"
71;arena-trap;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(71,""arena-trap"",3,1);"
72;vital-spirit;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(72,""vital-spirit"",3,1);"
73;white-smoke;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(73,""white-smoke"",3,1);"
74;pure-power;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(74,""pure-power"",3,1);"
75;shell-armor;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(75,""shell-armor"",3,1);"
76;air-lock;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(76,""air-lock"",3,1);"
77;tangled-feet;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(77,""tangled-feet"",4,1);"
78;motor-drive;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(78,""motor-drive"",4,1);"
79;rivalry;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(79,""rivalry"",4,1);"
80;steadfast;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(80,""steadfast"",4,1);"
81;snow-cloak;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(81,""snow-cloak"",4,1);"
82;gluttony;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(82,""gluttony"",4,1);"
83;anger-point;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(83,""anger-point"",4,1);"
84;unburden;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(84,""unburden"",4,1);"
85;heatproof;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(85,""heatproof"",4,1);"
86;simple;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(86,""simple"",4,1);"
87;dry-skin;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(87,""dry-skin"",4,1);"
88;download;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(88,""download"",4,1);"
89;iron-fist;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(89,""iron-fist"",4,1);"
90;poison-heal;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(90,""poison-heal"",4,1);"
91;adaptability;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(91,""adaptability"",4,1);"
92;skill-link;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(92,""skill-link"",4,1);"
93;hydration;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(93,""hydration"",4,1);"
94;solar-power;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(94,""solar-power"",4,1);"
95;quick-feet;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(95,""quick-feet"",4,1);"
96;normalize;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(96,""normalize"",4,1);"
97;sniper;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(97,""sniper"",4,1);"
98;magic-guard;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(98,""magic-guard"",4,1);"
99;no-guard;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(99,""no-guard"",4,1);"
100;stall;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(100,""stall"",4,1);"
101;technician;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(101,""technician"",4,1);"
102;leaf-guard;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(102,""leaf-guard"",4,1);"
103;klutz;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(103,""klutz"",4,1);"
104;mold-breaker;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(104,""mold-breaker"",4,1);"
105;super-luck;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(105,""super-luck"",4,1);"
106;aftermath;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(106,""aftermath"",4,1);"
107;anticipation;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(107,""anticipation"",4,1);"
108;forewarn;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(108,""forewarn"",4,1);"
109;unaware;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(109,""unaware"",4,1);"
110;tinted-lens;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(110,""tinted-lens"",4,1);"
111;filter;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(111,""filter"",4,1);"
112;slow-start;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(112,""slow-start"",4,1);"
113;scrappy;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(113,""scrappy"",4,1);"
114;storm-drain;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(114,""storm-drain"",4,1);"
115;ice-body;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(115,""ice-body"",4,1);"
116;solid-rock;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(116,""solid-rock"",4,1);"
117;snow-warning;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(117,""snow-warning"",4,1);"
118;honey-gather;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(118,""honey-gather"",4,1);"
119;frisk;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(119,""frisk"",4,1);"
120;reckless;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(120,""reckless"",4,1);"
121;multitype;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(121,""multitype"",4,1);"
122;flower-gift;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(122,""flower-gift"",4,1);"
123;bad-dreams;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(123,""bad-dreams"",4,1);"
124;pickpocket;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(124,""pickpocket"",5,1);"
125;sheer-force;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(125,""sheer-force"",5,1);"
126;contrary;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(126,""contrary"",5,1);"
127;unnerve;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(127,""unnerve"",5,1);"
128;defiant;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(128,""defiant"",5,1);"
129;defeatist;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(129,""defeatist"",5,1);"
130;cursed-body;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(130,""cursed-body"",5,1);"
131;healer;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(131,""healer"",5,1);"
132;friend-guard;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(132,""friend-guard"",5,1);"
133;weak-armor;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(133,""weak-armor"",5,1);"
134;heavy-metal;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(134,""heavy-metal"",5,1);"
135;light-metal;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(135,""light-metal"",5,1);"
136;multiscale;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(136,""multiscale"",5,1);"
137;toxic-boost;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(137,""toxic-boost"",5,1);"
138;flare-boost;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(138,""flare-boost"",5,1);"
139;harvest;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(139,""harvest"",5,1);"
140;telepathy;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(140,""telepathy"",5,1);"
141;moody;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(141,""moody"",5,1);"
142;overcoat;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(142,""overcoat"",5,1);"
143;poison-touch;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(143,""poison-touch"",5,1);"
144;regenerator;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(144,""regenerator"",5,1);"
145;big-pecks;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(145,""big-pecks"",5,1);"
146;sand-rush;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(146,""sand-rush"",5,1);"
147;wonder-skin;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(147,""wonder-skin"",5,1);"
148;analytic;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(148,""analytic"",5,1);"
149;illusion;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(149,""illusion"",5,1);"
150;imposter;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(150,""imposter"",5,1);"
151;infiltrator;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(151,""infiltrator"",5,1);"
152;mummy;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(152,""mummy"",5,1);"
153;moxie;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(153,""moxie"",5,1);"
154;justified;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(154,""justified"",5,1);"
155;rattled;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(155,""rattled"",5,1);"
156;magic-bounce;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(156,""magic-bounce"",5,1);"
157;sap-sipper;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(157,""sap-sipper"",5,1);"
158;prankster;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(158,""prankster"",5,1);"
159;sand-force;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(159,""sand-force"",5,1);"
160;iron-barbs;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(160,""iron-barbs"",5,1);"
161;zen-mode;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(161,""zen-mode"",5,1);"
162;victory-star;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(162,""victory-star"",5,1);"
163;turboblaze;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(163,""turboblaze"",5,1);"
164;teravolt;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(164,""teravolt"",5,1);"
165;aroma-veil;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(165,""aroma-veil"",6,1);"
