id;identifier;generation_id;is_main_series;;
166;flower-veil;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(166,""flower-veil"",6,1);"
167;cheek-pouch;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(167,""cheek-pouch"",6,1);"
168;protean;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(168,""protean"",6,1);"
169;fur-coat;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(169,""fur-coat"",6,1);"
170;magician;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(170,""magician"",6,1);"
171;bulletproof;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(171,""bulletproof"",6,1);"
172;competitive;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(172,""competitive"",6,1);"
173;strong-jaw;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(173,""strong-jaw"",6,1);"
174;refrigerate;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(174,""refrigerate"",6,1);"
175;sweet-veil;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(175,""sweet-veil"",6,1);"
176;stance-change;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(176,""stance-change"",6,1);"
177;gale-wings;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(177,""gale-wings"",6,1);"
178;mega-launcher;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(178,""mega-launcher"",6,1);"
179;grass-pelt;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(179,""grass-pelt"",6,1);"
180;symbiosis;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(180,""symbiosis"",6,1);"
181;tough-claws;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(181,""tough-claws"",6,1);"
182;pixilate;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(182,""pixilate"",6,1);"
183;gooey;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(183,""gooey"",6,1);"
184;aerilate;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(184,""aerilate"",6,1);"
185;parental-bond;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(185,""parental-bond"",6,1);"
186;dark-aura;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(186,""dark-aura"",6,1);"
187;fairy-aura;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(187,""fairy-aura"",6,1);"
188;aura-break;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(188,""aura-break"",6,1);"
189;primordial-sea;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(189,""primordial-sea"",6,1);"
190;desolate-land;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(190,""desolate-land"",6,1);"
191;delta-stream;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(191,""delta-stream"",6,1);"
192;stamina;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(192,""stamina"",7,1);"
193;wimp-out;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(193,""wimp-out"",7,1);"
194;emergency-exit;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(194,""emergency-exit"",7,1);"
195;water-compaction;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(195,""water-compaction"",7,1);"
196;merciless;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(196,""merciless"",7,1);"
197;shields-down;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(197,""shields-down"",7,1);"
198;stakeout;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(198,""stakeout"",7,1);"
199;water-bubble;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(199,""water-bubble"",7,1);"
200;steelworker;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(200,""steelworker"",7,1);"
201;berserk;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(201,""berserk"",7,1);"
202;slush-rush;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(202,""slush-rush"",7,1);"
203;long-reach;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(203,""long-reach"",7,1);"
204;liquid-voice;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(204,""liquid-voice"",7,1);"
205;triage;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(205,""triage"",7,1);"
206;galvanize;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(206,""galvanize"",7,1);"
207;surge-surfer;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(207,""surge-surfer"",7,1);"
208;schooling;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(208,""schooling"",7,1);"
209;disguise;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(209,""disguise"",7,1);"
210;battle-bond;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(210,""battle-bond"",7,1);"
211;power-construct;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(211,""power-construct"",7,1);"
212;corrosion;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(212,""corrosion"",7,1);"
213;comatose;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(213,""comatose"",7,1);"
214;queenly-majesty;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(214,""queenly-majesty"",7,1);"
215;innards-out;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(215,""innards-out"",7,1);"
216;dancer;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(216,""dancer"",7,1);"
217;battery;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(217,""battery"",7,1);"
218;fluffy;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(218,""fluffy"",7,1);"
219;dazzling;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(219,""dazzling"",7,1);"
220;soul-heart;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(220,""soul-heart"",7,1);"
221;tangling-hair;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(221,""tangling-hair"",7,1);"
222;receiver;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(222,""receiver"",7,1);"
223;power-of-alchemy;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(223,""power-of-alchemy"",7,1);"
224;beast-boost;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(224,""beast-boost"",7,1);"
225;rks-system;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(225,""rks-system"",7,1);"
226;electric-surge;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(226,""electric-surge"",7,1);"
227;psychic-surge;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(227,""psychic-surge"",7,1);"
228;misty-surge;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(228,""misty-surge"",7,1);"
229;grassy-surge;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(229,""grassy-surge"",7,1);"
230;full-metal-body;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(230,""full-metal-body"",7,1);"
231;shadow-shield;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(231,""shadow-shield"",7,1);"
232;prism-armor;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(232,""prism-armor"",7,1);"
233;neuroforce;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(233,""neuroforce"",7,1);"
234;intrepid-sword;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(234,""intrepid-sword"",8,1);"
235;dauntless-shield;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(235,""dauntless-shield"",8,1);"
236;libero;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(236,""libero"",8,1);"
237;ball-fetch;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(237,""ball-fetch"",8,1);"
238;cotton-down;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(238,""cotton-down"",8,1);"
239;propeller-tail;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(239,""propeller-tail"",8,1);"
240;mirror-armor;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(240,""mirror-armor"",8,1);"
241;gulp-missile;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(241,""gulp-missile"",8,1);"
242;stalwart;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(242,""stalwart"",8,1);"
243;steam-engine;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(243,""steam-engine"",8,1);"
244;punk-rock;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(244,""punk-rock"",8,1);"
245;sand-spit;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(245,""sand-spit"",8,1);"
246;ice-scales;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(246,""ice-scales"",8,1);"
247;ripen;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(247,""ripen"",8,1);"
248;ice-face;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(248,""ice-face"",8,1);"
249;power-spot;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(249,""power-spot"",8,1);"
250;mimicry;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(250,""mimicry"",8,1);"
251;screen-cleaner;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(251,""screen-cleaner"",8,1);"
252;steely-spirit;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(252,""steely-spirit"",8,1);"
253;perish-body;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(253,""perish-body"",8,1);"
254;wandering-spirit;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(254,""wandering-spirit"",8,1);"
255;gorilla-tactics;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(255,""gorilla-tactics"",8,1);"
256;neutralizing-gas;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(256,""neutralizing-gas"",8,1);"
257;pastel-veil;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(257,""pastel-veil"",8,1);"
258;hunger-switch;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(258,""hunger-switch"",8,1);"
259;quick-draw;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(259,""quick-draw"",8,1);"
260;unseen-fist;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(260,""unseen-fist"",8,1);"
261;curious-medicine;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(261,""curious-medicine"",8,1);"
262;transistor;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(262,""transistor"",8,1);"
263;dragons-maw;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(263,""dragons-maw"",8,1);"
264;chilling-neigh;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(264,""chilling-neigh"",8,1);"
265;grim-neigh;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(265,""grim-neigh"",8,1);"
266;as-one-glastrier;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(266,""as-one-glastrier"",8,1);"
267;as-one-spectrier;8;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(267,""as-one-spectrier"",8,1);"
10001;mountaineer;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10001,""mountaineer"",5,0);"
10002;wave-rider;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10002,""wave-rider"",5,0);"
10003;skater;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10003,""skater"",5,0);"
10004;thrust;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10004,""thrust"",5,0);"
10005;perception;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10005,""perception"",5,0);"
10006;parry;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10006,""parry"",5,0);"
10007;instinct;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10007,""instinct"",5,0);"
10008;dodge;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10008,""dodge"",5,0);"
10009;jagged-edge;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10009,""jagged-edge"",5,0);"
10010;frostbite;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10010,""frostbite"",5,0);"
10011;tenacity;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10011,""tenacity"",5,0);"
10012;pride;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10012,""pride"",5,0);"
10013;deep-sleep;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10013,""deep-sleep"",5,0);"
10014;power-nap;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10014,""power-nap"",5,0);"
10015;spirit;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10015,""spirit"",5,0);"
10016;warm-blanket;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10016,""warm-blanket"",5,0);"
10017;gulp;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10017,""gulp"",5,0);"
10018;herbivore;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10018,""herbivore"",5,0);"
10019;sandpit;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10019,""sandpit"",5,0);"
10020;hot-blooded;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10020,""hot-blooded"",5,0);"
10021;medic;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10021,""medic"",5,0);"
10022;life-force;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10022,""life-force"",5,0);"
10023;lunchbox;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10023,""lunchbox"",5,0);"
10024;nurse;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10024,""nurse"",5,0);"
10025;melee;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10025,""melee"",5,0);"
10026;sponge;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10026,""sponge"",5,0);"
10027;bodyguard;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10027,""bodyguard"",5,0);"
10028;hero;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10028,""hero"",5,0);"
10029;last-bastion;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10029,""last-bastion"",5,0);"
10030;stealth;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10030,""stealth"",5,0);"
10031;vanguard;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10031,""vanguard"",5,0);"
10032;nomad;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10032,""nomad"",5,0);"
10033;sequence;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10033,""sequence"",5,0);"
10034;grass-cloak;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10034,""grass-cloak"",5,0);"
10035;celebrate;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10035,""celebrate"",5,0);"
10036;lullaby;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10036,""lullaby"",5,0);"
10037;calming;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10037,""calming"",5,0);"
10038;daze;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10038,""daze"",5,0);"
10039;frighten;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10039,""frighten"",5,0);"
10040;interference;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10040,""interference"",5,0);"
10041;mood-maker;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10041,""mood-maker"",5,0);"
10042;confidence;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10042,""confidence"",5,0);"
10043;fortune;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10043,""fortune"",5,0);"
10044;bonanza;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10044,""bonanza"",5,0);"
10045;explode;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10045,""explode"",5,0);"
10046;omnipotent;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10046,""omnipotent"",5,0);"
10047;share;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10047,""share"",5,0);"
10048;black-hole;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10048,""black-hole"",5,0);"
10049;shadow-dash;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10049,""shadow-dash"",5,0);"
10050;sprint;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10050,""sprint"",5,0);"
10051;disgust;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10051,""disgust"",5,0);"
10052;high-rise;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10052,""high-rise"",5,0);"
10053;climber;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10053,""climber"",5,0);"
10054;flame-boost;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10054,""flame-boost"",5,0);"
10055;aqua-boost;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10055,""aqua-boost"",5,0);"
10056;run-up;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10056,""run-up"",5,0);"
10057;conqueror;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10057,""conqueror"",5,0);"
10058;shackle;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10058,""shackle"",5,0);"
10059;decoy;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10059,""decoy"",5,0);"
10060;shield;5;0;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10060,""shield"",5,0);"
